CustomerID,Feedback,SentimentScore
96,Amazing product,0.9
97,Delay in shipment,0.1
98,Unresponsive helpline,0.91
99,Worst delivery experience,0.35
100,Great support,0.92
101,Unresponsive helpline,0.88
102,Worst delivery experience,0.95
103,Worst delivery experience,0.88
104,Delay in shipment,0.95
105,Will not recommend,0.91
106,Delay in shipment,0.35
107,Packaging was damaged,0.88
108,Unresponsive helpline,0.88
109,Loved the quality,0.95
110,Excellent service,0.2
111,Excellent service,0.1
112,Unresponsive helpline,0.9
113,Quick resolution,0.25
114,Great support,0.91
115,Quick resolution,0.25
116,Packaging was damaged,0.35
117,Loved the quality,0.2
118,Worst delivery experience,0.2
119,Loved the quality,0.1
120,Delay in shipment,0.88
121,Unresponsive helpline,0.91
122,Will not recommend,0.35
123,Amazing product,0.95
124,Unresponsive helpline,0.91
125,Unresponsive helpline,0.88
126,Quick resolution,0.9
127,Delay in shipment,0.2
128,Amazing product,0.9
129,Loved the quality,0.2
130,Amazing product,0.1
131,Quick resolution,0.2
132,Will not recommend,0.3
133,Worst delivery experience,0.35
134,Will not recommend,0.9
135,Worst delivery experience,0.91
136,Delay in shipment,0.92
137,Delay in shipment,0.92
138,Great support,0.88
139,Quick resolution,0.91
140,Quick resolution,0.95
141,Will not recommend,0.91
142,Quick resolution,0.2
143,Packaging was damaged,0.9
144,Amazing product,0.92
145,Great support,0.1
146,Great support,0.3
147,Unresponsive helpline,0.92
148,Will not recommend,0.1
149,Great support,0.92
150,Unresponsive helpline,0.92
151,Unresponsive helpline,0.1
152,Excellent service,0.1
153,Excellent service,0.1
154,Excellent service,0.92
155,Delay in shipment,0.2
156,Great support,0.95
157,Excellent service,0.1
158,Quick resolution,0.25
159,Quick resolution,0.9
160,Great support,0.88
161,Unresponsive helpline,0.25
162,Loved the quality,0.35
163,Will not recommend,0.35
164,Will not recommend,0.9
165,Great support,0.91
166,Worst delivery experience,0.9
167,Excellent service,0.92
168,Will not recommend,0.35
169,Unresponsive helpline,0.95
170,Quick resolution,0.91
171,Amazing product,0.88
172,Unresponsive helpline,0.95
173,Loved the quality,0.35
174,Delay in shipment,0.88
175,Will not recommend,0.92
176,Loved the quality,0.92
177,Delay in shipment,0.88
178,Loved the quality,0.9
179,Great support,0.9
180,Amazing product,0.95
181,Quick resolution,0.25
182,Unresponsive helpline,0.2
183,Worst delivery experience,0.9
184,Will not recommend,0.88
185,Delay in shipment,0.1
186,Delay in shipment,0.1
187,Packaging was damaged,0.25
188,Packaging was damaged,0.91
189,Will not recommend,0.25
190,Delay in shipment,0.88
191,Quick resolution,0.1
192,Great support,0.95
193,Packaging was damaged,0.95
194,Packaging was damaged,0.25
195,Worst delivery experience,0.88
196,Great support,0.2
197,Loved the quality,0.91
198,Great support,0.1
199,Worst delivery experience,0.88
200,Amazing product,0.91
201,Quick resolution,0.95
202,Unresponsive helpline,0.9
203,Unresponsive helpline,0.1
204,Amazing product,0.2
205,Amazing product,0.35
206,Loved the quality,0.1
207,Amazing product,0.3
208,Great support,0.2
209,Great support,0.2
210,Packaging was damaged,0.35
211,Worst delivery experience,0.91
212,Great support,0.35
213,Quick resolution,0.3
214,Unresponsive helpline,0.91
215,Excellent service,0.2
216,Unresponsive helpline,0.35
217,Loved the quality,0.88
218,Quick resolution,0.9
219,Amazing product,0.3
220,Loved the quality,0.88
221,Worst delivery experience,0.91
222,Worst delivery experience,0.92
223,Loved the quality,0.2
224,Unresponsive helpline,0.25
225,Great support,0.91
226,Delay in shipment,0.2
227,Quick resolution,0.1
228,Unresponsive helpline,0.1
229,Unresponsive helpline,0.95
230,Loved the quality,0.3
231,Excellent service,0.95
232,Quick resolution,0.95
233,Loved the quality,0.92
234,Packaging was damaged,0.88
235,Quick resolution,0.9
236,Great support,0.88
237,Delay in shipment,0.92
238,Delay in shipment,0.1
239,Delay in shipment,0.25
240,Excellent service,0.88
241,Great support,0.95
242,Great support,0.95
243,Great support,0.88
244,Loved the quality,0.35
245,Delay in shipment,0.91
246,Quick resolution,0.25
247,Quick resolution,0.35
248,Will not recommend,0.35
249,Quick resolution,0.91
250,Worst delivery experience,0.3
251,Packaging was damaged,0.91
252,Worst delivery experience,0.25
253,Excellent service,0.9
254,Delay in shipment,0.3
255,Worst delivery experience,0.88
256,Quick resolution,0.9
257,Delay in shipment,0.9
258,Packaging was damaged,0.25
259,Will not recommend,0.92
260,Loved the quality,0.92
261,Will not recommend,0.25
262,Amazing product,0.35
263,Amazing product,0.92
264,Packaging was damaged,0.95
265,Amazing product,0.92
266,Excellent service,0.25
267,Unresponsive helpline,0.91
268,Quick resolution,0.35
269,Loved the quality,0.1
270,Unresponsive helpline,0.9
271,Worst delivery experience,0.25
272,Excellent service,0.92
273,Worst delivery experience,0.2
274,Unresponsive helpline,0.95
275,Amazing product,0.25
276,Quick resolution,0.2
277,Unresponsive helpline,0.9
278,Quick resolution,0.91
279,Amazing product,0.95
280,Will not recommend,0.25
281,Excellent service,0.2
282,Worst delivery experience,0.25
283,Quick resolution,0.2
284,Quick resolution,0.88
285,Quick resolution,0.9
286,Packaging was damaged,0.3
287,Delay in shipment,0.95
288,Amazing product,0.1
289,Unresponsive helpline,0.95
290,Excellent service,0.1
291,Packaging was damaged,0.25
292,Will not recommend,0.25
293,Packaging was damaged,0.2
294,Delay in shipment,0.3
295,Amazing product,0.2
296,Amazing product,0.25
297,Loved the quality,0.88
298,Amazing product,0.88
299,Will not recommend,0.1
300,Loved the quality,0.9
301,Great support,0.92
302,Quick resolution,0.95
303,Great support,0.1
304,Excellent service,0.3
305,Amazing product,0.3
306,Excellent service,0.95
307,Amazing product,0.88
308,Delay in shipment,0.92
309,Packaging was damaged,0.95
310,Great support,0.92
311,Amazing product,0.25
312,Packaging was damaged,0.1
313,Quick resolution,0.25
314,Unresponsive helpline,0.2
315,Worst delivery experience,0.95
316,Amazing product,0.2
317,Delay in shipment,0.35
318,Will not recommend,0.92
319,Great support,0.3
320,Loved the quality,0.25
321,Loved the quality,0.92
322,Packaging was damaged,0.3
323,Great support,0.25
324,Excellent service,0.95
325,Loved the quality,0.91
326,Amazing product,0.2
327,Loved the quality,0.25
328,Quick resolution,0.91
329,Amazing product,0.1
330,Excellent service,0.25
331,Will not recommend,0.91
332,Delay in shipment,0.3
333,Worst delivery experience,0.2
334,Will not recommend,0.9
335,Quick resolution,0.25
336,Excellent service,0.92
337,Packaging was damaged,0.3
338,Worst delivery experience,0.9
339,Quick resolution,0.9
340,Great support,0.1
341,Great support,0.1
342,Worst delivery experience,0.88
343,Packaging was damaged,0.25
344,Quick resolution,0.92
345,Unresponsive helpline,0.25
346,Excellent service,0.91
347,Loved the quality,0.3
348,Loved the quality,0.2
349,Delay in shipment,0.92
350,Amazing product,0.2
351,Unresponsive helpline,0.1
352,Quick resolution,0.2
353,Delay in shipment,0.35
354,Quick resolution,0.1
355,Loved the quality,0.1
356,Unresponsive helpline,0.95
357,Loved the quality,0.2
358,Unresponsive helpline,0.92
359,Great support,0.1
360,Great support,0.92
361,Will not recommend,0.1
362,Packaging was damaged,0.9
363,Worst delivery experience,0.92
364,Amazing product,0.91
365,Amazing product,0.2
366,Worst delivery experience,0.35
367,Delay in shipment,0.25
368,Packaging was damaged,0.9
369,Loved the quality,0.2
370,Delay in shipment,0.95
371,Packaging was damaged,0.95
372,Quick resolution,0.3
373,Packaging was damaged,0.35
374,Great support,0.88
375,Will not recommend,0.25
376,Loved the quality,0.25
377,Great support,0.1
378,Amazing product,0.95
379,Great support,0.25
380,Delay in shipment,0.1
381,Loved the quality,0.95
382,Loved the quality,0.9
383,Worst delivery experience,0.92
384,Amazing product,0.1
385,Excellent service,0.1
386,Great support,0.25
387,Great support,0.25
388,Delay in shipment,0.35
389,Unresponsive helpline,0.3
390,Delay in shipment,0.3
391,Great support,0.25
392,Packaging was damaged,0.9
393,Excellent service,0.25
394,Amazing product,0.3
395,Great support,0.1
396,Worst delivery experience,0.91
397,Excellent service,0.2
398,Great support,0.1
399,Great support,0.95
400,Quick resolution,0.3
401,Excellent service,0.91
402,Delay in shipment,0.88
403,Unresponsive helpline,0.91
404,Delay in shipment,0.91
405,Amazing product,0.1
406,Unresponsive helpline,0.91
407,Great support,0.91
408,Unresponsive helpline,0.88
409,Great support,0.25
410,Will not recommend,0.2
411,Will not recommend,0.91
412,Delay in shipment,0.2
413,Loved the quality,0.25
414,Unresponsive helpline,0.2
415,Delay in shipment,0.25
416,Will not recommend,0.9
417,Unresponsive helpline,0.2
418,Packaging was damaged,0.35
419,Excellent service,0.35
420,Packaging was damaged,0.95
421,Quick resolution,0.88
422,Will not recommend,0.95
423,Amazing product,0.3
424,Unresponsive helpline,0.35
425,Great support,0.25
426,Great support,0.25
427,Excellent service,0.1
428,Excellent service,0.88
429,Amazing product,0.92
430,Loved the quality,0.35
431,Amazing product,0.25
432,Great support,0.9
433,Excellent service,0.35
434,Will not recommend,0.3
435,Great support,0.9
436,Quick resolution,0.9
437,Delay in shipment,0.3
438,Quick resolution,0.35
439,Delay in shipment,0.95
440,Unresponsive helpline,0.2
441,Quick resolution,0.3
442,Delay in shipment,0.1
443,Quick resolution,0.91
444,Loved the quality,0.25
445,Excellent service,0.1
446,Excellent service,0.25
447,Unresponsive helpline,0.88
448,Packaging was damaged,0.35
449,Great support,0.88
450,Worst delivery experience,0.35
451,Worst delivery experience,0.9
452,Great support,0.35
453,Unresponsive helpline,0.88
454,Unresponsive helpline,0.35
455,Will not recommend,0.2
456,Delay in shipment,0.35
457,Quick resolution,0.2
458,Unresponsive helpline,0.95
459,Will not recommend,0.1
460,Great support,0.1
461,Quick resolution,0.1
462,Amazing product,0.92
463,Unresponsive helpline,0.3
464,Worst delivery experience,0.91
465,Quick resolution,0.91
466,Excellent service,0.91
467,Will not recommend,0.9
468,Great support,0.1
469,Excellent service,0.9
470,Amazing product,0.9
471,Quick resolution,0.1
472,Packaging was damaged,0.92
473,Loved the quality,0.35
474,Unresponsive helpline,0.35
475,Loved the quality,0.9
476,Loved the quality,0.2
477,Great support,0.35
478,Worst delivery experience,0.3
479,Quick resolution,0.91
480,Will not recommend,0.2
481,Great support,0.3
482,Packaging was damaged,0.2
483,Excellent service,0.92
484,Packaging was damaged,0.9
485,Will not recommend,0.3
486,Unresponsive helpline,0.91
487,Worst delivery experience,0.1
488,Loved the quality,0.92
489,Delay in shipment,0.91
490,Unresponsive helpline,0.92
491,Delay in shipment,0.1
492,Great support,0.91
493,Will not recommend,0.25
494,Packaging was damaged,0.95
495,Packaging was damaged,0.9
496,Great support,0.92
497,Loved the quality,0.9
498,Loved the quality,0.1
499,Worst delivery experience,0.95
500,Great support,0.2
501,Delay in shipment,0.2
502,Great support,0.3
503,Worst delivery experience,0.35
504,Will not recommend,0.2
505,Amazing product,0.35
506,Worst delivery experience,0.95
507,Great support,0.25
508,Excellent service,0.9
509,Unresponsive helpline,0.25
510,Loved the quality,0.9
511,Worst delivery experience,0.95
512,Loved the quality,0.3
513,Will not recommend,0.9
514,Unresponsive helpline,0.25
515,Unresponsive helpline,0.95
516,Excellent service,0.91
517,Packaging was damaged,0.91
518,Quick resolution,0.35
519,Worst delivery experience,0.92
520,Loved the quality,0.92
521,Will not recommend,0.35
522,Great support,0.88
523,Delay in shipment,0.25
524,Delay in shipment,0.9
525,Unresponsive helpline,0.1
526,Great support,0.95
527,Amazing product,0.92
528,Packaging was damaged,0.95
529,Quick resolution,0.2
530,Worst delivery experience,0.25
531,Amazing product,0.9
532,Will not recommend,0.1
533,Worst delivery experience,0.3
534,Delay in shipment,0.35
535,Loved the quality,0.25
536,Quick resolution,0.95
537,Packaging was damaged,0.2
538,Great support,0.35
539,Great support,0.25
540,Great support,0.25
541,Excellent service,0.9
542,Packaging was damaged,0.3
543,Will not recommend,0.1
544,Excellent service,0.3
545,Loved the quality,0.3
546,Loved the quality,0.2
547,Worst delivery experience,0.35
548,Excellent service,0.25
549,Worst delivery experience,0.91
550,Unresponsive helpline,0.95
551,Will not recommend,0.95
552,Unresponsive helpline,0.91
553,Amazing product,0.3
554,Worst delivery experience,0.88
555,Amazing product,0.2
556,Worst delivery experience,0.1
557,Will not recommend,0.95
558,Amazing product,0.88
559,Delay in shipment,0.35
560,Amazing product,0.9
561,Loved the quality,0.1
562,Worst delivery experience,0.3
563,Worst delivery experience,0.95
564,Will not recommend,0.88
565,Quick resolution,0.91
566,Loved the quality,0.95
567,Delay in shipment,0.2
568,Unresponsive helpline,0.2
569,Loved the quality,0.35
570,Unresponsive helpline,0.92
571,Excellent service,0.35
572,Quick resolution,0.95
573,Loved the quality,0.35
574,Packaging was damaged,0.35
575,Delay in shipment,0.88
576,Packaging was damaged,0.2
577,Worst delivery experience,0.35
578,Quick resolution,0.91
579,Amazing product,0.91
580,Loved the quality,0.2
581,Will not recommend,0.92
582,Delay in shipment,0.88
583,Will not recommend,0.92
584,Worst delivery experience,0.9
585,Loved the quality,0.95
586,Loved the quality,0.88
587,Delay in shipment,0.25
588,Excellent service,0.35
589,Excellent service,0.88
590,Will not recommend,0.91
591,Will not recommend,0.2
592,Quick resolution,0.92
593,Great support,0.9
594,Packaging was damaged,0.2
595,Will not recommend,0.9
596,Loved the quality,0.3
597,Amazing product,0.2
598,Quick resolution,0.2
599,Quick resolution,0.25
600,Worst delivery experience,0.9
601,Will not recommend,0.9
602,Will not recommend,0.3
603,Amazing product,0.92
604,Worst delivery experience,0.9
605,Packaging was damaged,0.35
606,Delay in shipment,0.1
607,Amazing product,0.9
608,Great support,0.25
609,Great support,0.3
610,Delay in shipment,0.92
611,Packaging was damaged,0.9
612,Excellent service,0.92
613,Worst delivery experience,0.88
614,Will not recommend,0.9
615,Packaging was damaged,0.9
616,Packaging was damaged,0.95
617,Excellent service,0.2
618,Delay in shipment,0.3
619,Quick resolution,0.91
620,Unresponsive helpline,0.9
621,Unresponsive helpline,0.1
622,Unresponsive helpline,0.92
623,Worst delivery experience,0.91
624,Excellent service,0.3
625,Quick resolution,0.3
626,Loved the quality,0.35
627,Delay in shipment,0.88
628,Will not recommend,0.35
629,Will not recommend,0.3
630,Loved the quality,0.88
631,Unresponsive helpline,0.1
632,Amazing product,0.9
633,Packaging was damaged,0.9
634,Excellent service,0.88
635,Worst delivery experience,0.35
636,Amazing product,0.2
637,Amazing product,0.95
638,Will not recommend,0.35
639,Will not recommend,0.91
640,Delay in shipment,0.9
641,Great support,0.91
642,Amazing product,0.35
643,Unresponsive helpline,0.3
644,Worst delivery experience,0.1
645,Loved the quality,0.1
646,Quick resolution,0.1
647,Will not recommend,0.2
648,Delay in shipment,0.91
649,Worst delivery experience,0.92
650,Worst delivery experience,0.92
651,Worst delivery experience,0.2
652,Excellent service,0.92
653,Quick resolution,0.35
654,Delay in shipment,0.2
655,Quick resolution,0.95
656,Delay in shipment,0.35
657,Quick resolution,0.91
658,Excellent service,0.91
659,Amazing product,0.91
660,Delay in shipment,0.92
661,Will not recommend,0.1
662,Quick resolution,0.95
663,Delay in shipment,0.9
664,Amazing product,0.25
665,Delay in shipment,0.91
666,Loved the quality,0.3
667,Loved the quality,0.9
668,Great support,0.2
669,Worst delivery experience,0.92
670,Quick resolution,0.2
671,Quick resolution,0.91
672,Great support,0.1
673,Quick resolution,0.91
674,Delay in shipment,0.9
675,Quick resolution,0.3
676,Unresponsive helpline,0.91
677,Worst delivery experience,0.95
678,Excellent service,0.88
679,Delay in shipment,0.2
680,Delay in shipment,0.91
681,Will not recommend,0.9
682,Will not recommend,0.35
683,Excellent service,0.92
684,Delay in shipment,0.2
685,Packaging was damaged,0.91
686,Unresponsive helpline,0.9
687,Amazing product,0.35
688,Packaging was damaged,0.91
689,Worst delivery experience,0.25
690,Great support,0.1
691,Will not recommend,0.92
692,Packaging was damaged,0.35
693,Delay in shipment,0.9
694,Excellent service,0.92
695,Unresponsive helpline,0.35
696,Unresponsive helpline,0.9
697,Excellent service,0.1
698,Will not recommend,0.2
699,Loved the quality,0.1
700,Loved the quality,0.91
701,Loved the quality,0.88
702,Great support,0.3
703,Packaging was damaged,0.9
704,Packaging was damaged,0.3
705,Worst delivery experience,0.91
706,Loved the quality,0.91
707,Worst delivery experience,0.35
708,Delay in shipment,0.91
709,Loved the quality,0.91
710,Delay in shipment,0.35
711,Will not recommend,0.92
712,Unresponsive helpline,0.9
713,Unresponsive helpline,0.95
714,Delay in shipment,0.3
715,Loved the quality,0.95
716,Excellent service,0.95
717,Packaging was damaged,0.35
718,Loved the quality,0.92
719,Quick resolution,0.88
720,Quick resolution,0.95
721,Great support,0.95
722,Packaging was damaged,0.25
723,Quick resolution,0.35
724,Amazing product,0.25
725,Great support,0.35
726,Unresponsive helpline,0.35
727,Loved the quality,0.1
728,Delay in shipment,0.88
729,Quick resolution,0.2
730,Unresponsive helpline,0.9
731,Packaging was damaged,0.3
732,Worst delivery experience,0.95
733,Will not recommend,0.91
734,Excellent service,0.91
735,Unresponsive helpline,0.3
736,Delay in shipment,0.95
737,Great support,0.95
738,Will not recommend,0.35
739,Will not recommend,0.2
740,Excellent service,0.95
741,Quick resolution,0.1
742,Quick resolution,0.2
743,Amazing product,0.88
744,Excellent service,0.3
745,Excellent service,0.88
746,Great support,0.88
747,Packaging was damaged,0.3
748,Loved the quality,0.2
749,Amazing product,0.91
750,Worst delivery experience,0.1
751,Delay in shipment,0.1
752,Delay in shipment,0.9
753,Excellent service,0.95
754,Excellent service,0.25
755,Quick resolution,0.3
756,Great support,0.91
757,Delay in shipment,0.25
758,Great support,0.88
759,Loved the quality,0.91
760,Great support,0.2
761,Loved the quality,0.3
762,Packaging was damaged,0.92
763,Unresponsive helpline,0.92
764,Unresponsive helpline,0.95
765,Quick resolution,0.91
766,Loved the quality,0.91
767,Great support,0.92
768,Packaging was damaged,0.1
769,Loved the quality,0.9
770,Delay in shipment,0.25
771,Great support,0.88
772,Will not recommend,0.92
773,Delay in shipment,0.95
774,Great support,0.88
775,Great support,0.95
776,Amazing product,0.95
777,Worst delivery experience,0.91
778,Amazing product,0.35
779,Quick resolution,0.88
780,Great support,0.2
781,Great support,0.25
782,Loved the quality,0.88
783,Excellent service,0.92
784,Worst delivery experience,0.25
785,Excellent service,0.2
786,Packaging was damaged,0.35
787,Unresponsive helpline,0.3
788,Loved the quality,0.88
789,Will not recommend,0.35
790,Packaging was damaged,0.35
791,Worst delivery experience,0.92
792,Amazing product,0.92
793,Loved the quality,0.2
794,Worst delivery experience,0.88
795,Unresponsive helpline,0.88
796,Worst delivery experience,0.25
797,Will not recommend,0.3
798,Delay in shipment,0.91
799,Unresponsive helpline,0.1
800,Unresponsive helpline,0.9
801,Excellent service,0.9
802,Will not recommend,0.2
803,Packaging was damaged,0.1
804,Excellent service,0.88
805,Worst delivery experience,0.1
806,Will not recommend,0.2
807,Great support,0.88
808,Will not recommend,0.9
809,Delay in shipment,0.95
810,Worst delivery experience,0.25
811,Quick resolution,0.25
812,Will not recommend,0.1
813,Amazing product,0.95
814,Loved the quality,0.35
815,Great support,0.3
816,Unresponsive helpline,0.92
817,Quick resolution,0.25
818,Delay in shipment,0.25
819,Will not recommend,0.88
820,Worst delivery experience,0.92
821,Quick resolution,0.35
822,Packaging was damaged,0.25
823,Great support,0.92
824,Worst delivery experience,0.9
825,Worst delivery experience,0.91
826,Packaging was damaged,0.91
827,Quick resolution,0.1
828,Quick resolution,0.95
829,Packaging was damaged,0.88
830,Amazing product,0.3
831,Excellent service,0.35
832,Great support,0.88
833,Unresponsive helpline,0.25
834,Delay in shipment,0.92
835,Amazing product,0.92
836,Unresponsive helpline,0.35
837,Delay in shipment,0.88
838,Will not recommend,0.92
839,Loved the quality,0.92
840,Will not recommend,0.3
841,Packaging was damaged,0.95
842,Delay in shipment,0.88
843,Quick resolution,0.88
844,Excellent service,0.35
845,Quick resolution,0.1
846,Will not recommend,0.2
847,Will not recommend,0.2
848,Delay in shipment,0.35
849,Unresponsive helpline,0.91
850,Great support,0.92
851,Worst delivery experience,0.88
852,Will not recommend,0.2
853,Packaging was damaged,0.35
854,Quick resolution,0.35
855,Excellent service,0.1
856,Delay in shipment,0.35
857,Unresponsive helpline,0.35
858,Great support,0.3
859,Great support,0.92
860,Loved the quality,0.3
861,Worst delivery experience,0.35
862,Unresponsive helpline,0.91
863,Packaging was damaged,0.92
864,Quick resolution,0.92
865,Packaging was damaged,0.9
866,Packaging was damaged,0.88
867,Worst delivery experience,0.92
868,Will not recommend,0.2
869,Delay in shipment,0.91
870,Packaging was damaged,0.92
871,Worst delivery experience,0.88
872,Packaging was damaged,0.88
873,Amazing product,0.1
874,Delay in shipment,0.25
875,Packaging was damaged,0.3
876,Packaging was damaged,0.88
877,Great support,0.9
878,Great support,0.91
879,Unresponsive helpline,0.25
880,Quick resolution,0.1
881,Worst delivery experience,0.91
882,Amazing product,0.2
883,Worst delivery experience,0.3
884,Loved the quality,0.95
885,Quick resolution,0.25
886,Unresponsive helpline,0.3
887,Great support,0.3
888,Excellent service,0.88
889,Excellent service,0.35
890,Delay in shipment,0.9
891,Worst delivery experience,0.25
892,Amazing product,0.2
893,Amazing product,0.95
894,Loved the quality,0.2
895,Amazing product,0.91
896,Quick resolution,0.92
897,Unresponsive helpline,0.92
898,Excellent service,0.35
899,Quick resolution,0.9
900,Excellent service,0.95
901,Amazing product,0.25
902,Great support,0.88
903,Great support,0.25
904,Will not recommend,0.91
905,Loved the quality,0.2
906,Amazing product,0.92
907,Great support,0.2
908,Excellent service,0.25
909,Unresponsive helpline,0.3
910,Amazing product,0.3
911,Amazing product,0.1
912,Loved the quality,0.25
913,Loved the quality,0.88
914,Worst delivery experience,0.95
915,Packaging was damaged,0.88
916,Packaging was damaged,0.1
917,Delay in shipment,0.9
918,Excellent service,0.92
919,Delay in shipment,0.25
920,Amazing product,0.35
921,Worst delivery experience,0.25
922,Great support,0.92
923,Amazing product,0.1
924,Packaging was damaged,0.91
925,Loved the quality,0.35
926,Will not recommend,0.91
927,Great support,0.3
928,Unresponsive helpline,0.2
929,Great support,0.25
930,Worst delivery experience,0.92
931,Excellent service,0.2
932,Packaging was damaged,0.35
933,Quick resolution,0.9
934,Excellent service,0.95
935,Worst delivery experience,0.35
936,Will not recommend,0.25
937,Excellent service,0.95
938,Delay in shipment,0.9
939,Delay in shipment,0.35
940,Amazing product,0.1
941,Delay in shipment,0.9
942,Unresponsive helpline,0.88
943,Amazing product,0.35
944,Excellent service,0.91
945,Great support,0.35
946,Packaging was damaged,0.88
947,Excellent service,0.2
948,Worst delivery experience,0.1
949,Loved the quality,0.3
950,Great support,0.92
951,Unresponsive helpline,0.2
952,Will not recommend,0.1
953,Amazing product,0.1
954,Loved the quality,0.1
955,Unresponsive helpline,0.88
956,Worst delivery experience,0.3
957,Quick resolution,0.91
958,Amazing product,0.25
959,Quick resolution,0.1
960,Unresponsive helpline,0.91
961,Excellent service,0.25
962,Delay in shipment,0.92
963,Delay in shipment,0.91
964,Delay in shipment,0.92
965,Quick resolution,0.25
966,Quick resolution,0.3
967,Unresponsive helpline,0.92
968,Great support,0.3
969,Loved the quality,0.2
970,Great support,0.3
971,Excellent service,0.92
972,Quick resolution,0.35
973,Packaging was damaged,0.3
974,Unresponsive helpline,0.1
975,Delay in shipment,0.3
976,Excellent service,0.35
977,Unresponsive helpline,0.88
978,Worst delivery experience,0.88
979,Loved the quality,0.3
980,Loved the quality,0.92
981,Will not recommend,0.9
982,Loved the quality,0.92
983,Great support,0.1
984,Delay in shipment,0.92
985,Packaging was damaged,0.3
986,Worst delivery experience,0.35
987,Worst delivery experience,0.92
988,Amazing product,0.25
989,Excellent service,0.2
990,Great support,0.35
991,Quick resolution,0.2
992,Excellent service,0.35
993,Amazing product,0.3
994,Loved the quality,0.95
995,Packaging was damaged,0.35
996,Loved the quality,0.9
997,Great support,0.88
998,Unresponsive helpline,0.9
999,Loved the quality,0.1
1000,Worst delivery experience,0.3
1001,Unresponsive helpline,0.91
1002,Delay in shipment,0.88
1003,Worst delivery experience,0.3
1004,Unresponsive helpline,0.2
1005,Excellent service,0.92
1006,Excellent service,0.25
1007,Excellent service,0.2
1008,Delay in shipment,0.91
1009,Loved the quality,0.92
1010,Unresponsive helpline,0.35
1011,Excellent service,0.88
1012,Packaging was damaged,0.91
1013,Will not recommend,0.88
1014,Excellent service,0.3
1015,Amazing product,0.92
1016,Amazing product,0.9
1017,Packaging was damaged,0.95
1018,Worst delivery experience,0.9
1019,Unresponsive helpline,0.95
1020,Unresponsive helpline,0.92
1021,Great support,0.88
1022,Great support,0.91
1023,Quick resolution,0.3
1024,Amazing product,0.1
1025,Worst delivery experience,0.1
1026,Amazing product,0.95
1027,Amazing product,0.88
1028,Will not recommend,0.9
1029,Packaging was damaged,0.95
1030,Unresponsive helpline,0.3
1031,Packaging was damaged,0.91
1032,Quick resolution,0.35
1033,Worst delivery experience,0.35
1034,Great support,0.88
1035,Will not recommend,0.95
1036,Loved the quality,0.92
1037,Will not recommend,0.3
1038,Will not recommend,0.3
1039,Loved the quality,0.88
1040,Quick resolution,0.2
1041,Packaging was damaged,0.92
1042,Unresponsive helpline,0.88
1043,Worst delivery experience,0.9
1044,Loved the quality,0.2
1045,Unresponsive helpline,0.95
1046,Great support,0.92
1047,Excellent service,0.92
1048,Amazing product,0.3
1049,Amazing product,0.25
